Names,2002,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2003,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2004,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2005,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2006,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2007,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2008,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2009,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2012,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2013,LL,UL,CI,SAMPLE SIZE,TARGET,2014,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2015,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2016,LL,UL,CI,SAMPLE SIZE,TARGET
CA-Fresno County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,56.8,49.8,63.4,(±6.8),271,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
CA-Los Angeles County,19.5,14.3,26.0,(±5.9),276,,NaN,39.9,33.3,46.9,(±6.9),256,,NaN,44.0,37.6,50.7,(±6.6),299,,NaN,47.9,40.5,55.5,(±7.6),216,,NaN,63.1,56.5,69.3,(±6.4),267,,NaN,73.5,66.4,79.5,(±6.6),236,,NaN,85.2,80.4,88.9,(±4.2),291,,NaN,82.7,75.9,87.9,(±6),194,,NaN,90.1,85.5,93.4,(±3.9),232,,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
CA-Northern CA,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,40.6,34.1,47.5,(±6.8),265,,NaN,,NaN,NaN,NA,,,NaN,66.0,58.7,72.7,(±7),231,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
CA-San Bernardino County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,41.2,33.5,49.3,(±8),174,,NaN,,NaN,NaN,NA,,,NaN,74.4,67.8,80.1,(±6.1),271,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
CA-San Diego County,13.9,9.7,19.5,(±4.9),258,,NaN,40.7,33.8,48.0,(±7.1),250,,NaN,41.6,35.3,48.3,(±6.5),323,,NaN,,NaN,NaN,NA,,,NaN,52.9,45.9,59.7,(±6.9),277,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
CA-Santa Clara County,13.8,9.9,19.0,(±4.5),285,,NaN,30.1,24.4,36.6,(±6.1),266,,NaN,32.0,26.0,38.7,(±6.4),257,,NaN,,NaN,NaN,NA,,,NaN,57.6,50.6,64.4,(±7),218,,NaN,,NaN,NaN,NA,,,NaN,87.0,81.3,91.1,(±4.9),208,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
CA-Rest of State,14.7,10.7,19.9,(±4.6),282,,NaN,33.4,27.3,40.0,(±6.4),302,,NaN,37.3,30.8,44.3,(±6.8),265,,NaN,41.1,33.8,48.7,(±7.5),241,,NaN,53.0,44.7,61.1,(±8.3),250,,NaN,72.9,64.1,80.2,(±8.1),195,,NaN,86.3,80.4,90.7,(±5.1),220,,NaN,83.6,77.2,88.5,(±5.6),192,,NaN,79.0,70.8,85.3,(±7.3),179,,88.0,84.0,91.2,(±3.6),407,,NaN,86.0,79.5,90.6,(±5.5),316,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Colorado,,NaN,NaN,NA,,,NaN,8.8,5.6,13.5,(±3.9),281,,NaN,11.9,8.0,17.5,(±4.7),298,,NaN,16.5,12.5,21.4,(±4.4),394,,NaN,30.7,22.6,40.2,(±8.9),219,,NaN,56.8,47.6,65.7,(±9.2),212,,NaN,74.8,67.0,81.3,(±7.2),305,,NaN,64.2,55.6,72.0,(±8.3),337,,NaN,73.0,66.8,78.5,(±5.9),353,,67.5,58.4,75.4,(±8.5),403,,NaN,85.3,78.6,90.2,(±5.7),266,,NaN,73.2,66.1,79.2,(±6.6),267,,82.6,76.4,87.5,(±5.5),320,,NaN,86.9,81.1,91.2,(±5.0),246,,NaN,83.6,75.1,89.6,(±7.2),238,
CO-Denver,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,26.2,19.0,35.0,(±8),198,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
CO-Rest of State,,NaN,NaN,NA,,,NaN,8.8,5.6,13.5,(±3.9),281,,NaN,11.9,8.0,17.5,(±4.7),298,,NaN,8.8,5.1,14.8,(±4.7),196,,NaN,30.7,22.6,40.2,(±8.9),219,,NaN,56.8,47.6,65.7,(±9.2),212,,NaN,74.8,67.0,81.3,(±7.2),305,,NaN,64.2,55.6,72.0,(±8.3),337,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
