Names,2002,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2003,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2004,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2005,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2006,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2007,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2008,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2009,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2012,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2013,LL,UL,CI,SAMPLE SIZE,TARGET,2014,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2015,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2016,LL,UL,CI,SAMPLE SIZE,TARGET
GA-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.4,3.4,8.5,(±2.5),302,,NaN,39.9,32.8,47.5,(±7.4),313,,NaN,78.8,71.9,84.4,(±6.2),299,,NaN,87.6,81.7,91.8,(±5),297,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Hawaii,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,12.3,8.0,18.3,(±5.1),230,,NaN,55.8,47.8,63.5,(±7.9),214,,NaN,68.6,60.9,75.5,(±7.3),238,,NaN,73.9,66.8,80.0,(±6.6),221,,NaN,71.8,65.4,77.4,(±6.1),323,,78.6,71.3,84.4,(±6.6),296,,NaN,85.2,79.6,89.4,(±4.9),266,,NaN,81.8,74.4,87.4,(±6.5),243,,87.3,81.7,91.3,(±4.8),250,,NaN,87.5,82.1,91.5,(±4.6),261,,NaN,85.0,79.4,89.3,(±4.9),266,
Idaho,11.1,7.9,15.4,(±3.7),297,,NaN,28.3,22.5,35.0,(±6.3),253,,NaN,30.8,25.0,37.3,(±6.2),293,,NaN,31.6,25.5,38.4,(±6.5),227,,NaN,43.1,36.1,50.4,(±7.2),222,,NaN,63.7,56.2,70.7,(±7.3),183,,NaN,73.2,66.5,79.0,(±6.2),282,,NaN,78.1,71.1,83.8,(±6.3),207,,NaN,77.5,71.3,82.6,(±5.7),271,,84.2,77.0,89.4,(±6.2),282,,NaN,89.8,84.0,93.7,(±4.8),289,,NaN,87.6,82.3,91.5,(±4.6),233,,90.3,84.4,94.1,(±4.7),235,,NaN,87.2,81.5,91.3,(±4.9),209,,NaN,88.2,81.9,92.5,(±5.2),225,
Illinois,,NaN,NaN,NA,,,NaN,2.6,1.6,4.4,(±1.4),538,,NaN,3.0,1.8,5.0,(±1.5),574,,NaN,6.4,3.7,10.9,(±3.5),434,,NaN,13.8,10.4,18.2,(±3.8),540,,NaN,35.2,30.3,40.5,(±5.1),598,,NaN,55.4,50.1,60.5,(±5.2),969,,NaN,61.3,55.3,67.0,(±5.9),631,,NaN,73.0,68.1,77.5,(±4.7),657,,71.2,65.3,76.5,(±5.6),762,,NaN,79.0,74.5,83.0,(±4.2),571,,NaN,78.2,73.2,82.5,(±4.6),495,,87.9,84.2,90.9,(±3.3),583,,NaN,83.9,79.9,87.3,(±3.7),559,,NaN,88.2,84.5,91.1,(±3.3),494,
IL-City of Chicago,,NaN,NaN,NA,,,NaN,6.7,4.4,10.3,(±2.9),277,,NaN,9.3,5.5,15.1,(±4.7),275,,NaN,11.8,7.9,17.3,(±4.6),275,,NaN,28.1,22.3,34.6,(±6.2),316,,NaN,45.0,37.9,52.4,(±7.3),295,,NaN,70.6,64.6,75.9,(±5.6),318,,NaN,76.6,70.0,82.0,(±6),320,,NaN,79.2,73.8,83.6,(±4.9),352,,81.7,75.1,86.9,(±5.9),411,,NaN,83.5,76.3,88.9,(±6.2),228,,NaN,79.3,70.6,85.9,(±7.7),168,,85.0,78.5,89.8,(±5.6),277,,NaN,86.4,80.1,91.0,(±5.4),188,,NaN,90.3,81.8,95.1,(±6.4),131,
IL-Madison/St. Clair Counties,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,73.4,67.1,78.9,(±5.9),316,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
IL-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,8.8,5.1,14.7,(±4.7),224,,NaN,31.9,25.9,38.5,(±6.4),303,,NaN,49.0,42.1,55.9,(±7),335,,NaN,56.0,48.5,63.3,(±7.4),311,,NaN,70.9,64.4,76.7,(±6.2),305,,67.5,59.9,74.3,(±7.2),351,,NaN,77.5,71.7,82.3,(±5.3),343,,NaN,77.8,71.7,82.9,(±5.6),327,,89.0,84.3,92.4,(±4.0),306,,NaN,83.1,78.0,87.2,(±4.6),371,,NaN,87.5,83.1,90.9,(±3.8),363,
Indiana,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,10.1,6.8,14.6,(±3.8),521,,NaN,37.1,31.4,43.1,(±5.9),698,,NaN,67.8,60.9,74.1,(±6.6),301,,NaN,69.1,63.0,74.6,(±5.9),708,,NaN,69.6,63.0,75.5,(±6.2),322,,79.4,73.9,83.9,(±5.0),382,,NaN,74.0,66.5,80.3,(±6.9),252,,NaN,83.5,77.7,88.0,(±5.2),243,,84.5,78.4,89.2,(±5.3),309,,NaN,89.2,82.9,93.4,(±5.1),231,,NaN,90.9,86.3,94.1,(±3.9),239,
IN-Lake County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,43.6,35.8,51.7,(±8),237,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
IN-Marion County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,12.9,8.4,19.3,(±5.4),275,,NaN,32.3,26.8,38.4,(±5.8),349,,NaN,,NaN,NaN,NA,,,NaN,75.0,67.7,81.1,(±6.7),252,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
IN-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,9.5,5.9,15.0,(±4.5),246,,NaN,38.1,31.4,45.2,(±6.9),349,,NaN,67.8,60.9,74.1,(±6.6),301,,NaN,70.4,62.2,77.4,(±7.6),219,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Iowa,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,8.8,5.7,13.2,(±3.7),226,,NaN,32.3,26.2,39.2,(±6.5),266,,NaN,55.2,48.4,61.8,(±6.7),262,,NaN,70.7,63.9,76.7,(±6.5),266,,NaN,76.9,70.0,82.6,(±6.3),252,,70.3,63.0,76.7,(±6.9),313,,NaN,80.9,74.4,86.1,(±5.8),304,,NaN,81.7,74.8,87.1,(±6.1),214,,79.0,71.0,85.2,(±7.1),197,,NaN,86.7,81.5,90.6,(±4.5),279,,NaN,85.8,80.8,89.7,(±4.4),298,
Kansas,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,13.4,10.5,17.0,(±3.2),548,,NaN,38.9,31.9,46.3,(±7.3),242,,NaN,62.9,55.8,69.5,(±6.9),303,,NaN,79.6,72.3,85.3,(±6.5),218,,NaN,80.1,72.8,85.8,(±6.5),270,,89.4,84.1,93.1,(±4.4),359,,NaN,83.2,77.1,88.0,(±5.4),297,,NaN,90.0,84.3,93.8,(±4.7),205,,92.2,87.0,95.5,(±4.1),234,,NaN,90.3,85.3,93.7,(±4.1),228,,NaN,91.0,85.5,94.5,(±4.4),207,
KS-Eastern KS,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,26.5,21.0,32.9,(±6),288,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
KS-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,8.7,5.6,13.3,(±3.8),260,,NaN,38.9,31.9,46.3,(±7.3),242,,NaN,62.9,55.8,69.5,(±6.9),303,,NaN,79.6,72.3,85.3,(±6.5),218,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Kentucky,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.9,3.5,9.8,(±3.1),267,,NaN,35.0,28.9,41.8,(±6.5),318,,NaN,62.1,55.1,68.7,(±6.8),272,,NaN,62.9,56.7,68.7,(±6),350,,NaN,69.9,63.8,75.4,(±5.8),276,,69.1,61.1,76.2,(±7.6),281,,NaN,68.8,62.0,74.9,(±6.5),302,,NaN,72.5,64.1,79.5,(±7.8),190,,76.2,67.0,83.5,(±8.3),220,,NaN,74.0,67.0,79.9,(±6.5),241,,NaN,81.6,75.3,86.6,(±5.6),243,
Louisiana,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,2.3,1.4,4.0,(±1.2),556,,NaN,9.9,6.8,14.3,(±3.7),287,,NaN,45.2,37.8,52.9,(±7.6),281,,NaN,78.0,72.5,82.8,(±5.1),340,,NaN,82.0,75.9,86.9,(±5.5),266,,NaN,78.5,71.5,84.1,(±6.3),226,,87.9,83.1,91.4,(±4.1),307,,NaN,82.1,75.6,87.2,(±5.8),304,,NaN,83.2,76.8,88.1,(±5.6),224,,85.0,79.0,89.5,(±5.2),269,,NaN,84.8,77.8,89.9,(±6.0),223,,NaN,82.5,76.6,87.3,(±5.3),243,
LA-Orleans Parish,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
LA-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,2.3,1.4,4.0,(±1.2),556,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Maine,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,14.1,9.4,20.5,(±5.5),219,,NaN,38.3,31.9,45.1,(±6.7),275,,NaN,37.7,31.3,44.7,(±6.7),261,,NaN,45.2,37.8,52.9,(±7.6),220,,62.4,55.8,68.6,(±6.4),294,,NaN,70.4,63.4,76.6,(±6.7),264,,NaN,80.1,73.4,85.4,(±6.0),209,,83.5,77.5,88.1,(±5.3),239,,NaN,81.0,73.3,86.9,(±6.8),221,,NaN,83.2,77.9,87.4,(±4.8),260,
Maryland,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,17.2,12.7,22.8,(±5),519,,NaN,50.5,42.8,58.2,(±7.7),313,,NaN,73.8,67.9,79.0,(±5.6),610,,NaN,74.0,66.1,80.6,(±7.3),485,,NaN,77.4,70.5,83.0,(±6.2),306,,83.3,77.9,87.5,(±4.8),657,,NaN,86.5,80.0,91.2,(±5.5),311,,NaN,84.4,76.1,90.1,(±6.9),287,,88.8,82.6,93.0,(±5.1),303,,NaN,93.1,89.1,95.7,(±3.2),361,,NaN,90.1,85.3,93.4,(±4),372,
MD-City of Baltimore,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,10.9,6.8,17.1,(±5.1),209,,NaN,37.5,30.5,45.2,(±7.4),233,,NaN,,NaN,NaN,NA,,,NaN,72.8,66.4,78.3,(±5.9),294,,NaN,76.9,70.4,82.4,(±6),276,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
MD-Prince George's County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,85.4,79.3,90.0,(±5.3),312,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
MD-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,14.3,9.5,20.9,(±5.7),286,,NaN,50.5,42.8,58.2,(±7.7),313,,NaN,73.9,67.2,79.7,(±6.3),316,,NaN,73.6,64.5,81.0,(±8.3),209,,NaN,77.4,70.5,83.0,(±6.2),306,,82.8,76.5,87.8,(±5.6),345,,NaN,86.5,80.0,91.2,(±5.5),311,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Massachusetts,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,20.1,13.5,29.0,(±7.7),199,,NaN,58.6,51.0,65.8,(±7.4),266,,NaN,65.9,58.7,72.4,(±6.8),275,,NaN,81.0,74.5,86.2,(±5.8),297,,76.0,68.3,82.4,(±7.1),295,,NaN,80.3,74.0,85.4,(±5.7),270,,NaN,86.4,79.7,91.1,(±5.6),241,,85.2,79.1,89.7,(±5.3),237,,NaN,84.9,78.9,89.4,(±5.2),307,,NaN,91.1,86.2,94.3,(±4),312,
MA-City of Boston,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,4.9,2.9,8.3,(±2.6),266,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
MA-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,20.1,13.5,29.0,(±7.7),199,,NaN,58.6,51.0,65.8,(±7.4),266,,NaN,65.9,58.7,72.4,(±6.8),275,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Michigan,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,3.4,2.0,5.8,(±1.8),539,,NaN,35.3,28.2,43.0,(±7.5),270,,NaN,55.1,47.6,62.3,(±7.4),282,,NaN,72.0,65.2,77.9,(±6.3),331,,NaN,71.7,64.8,77.7,(±6.5),270,,78.4,71.0,84.4,(±6.7),386,,NaN,77.7,70.4,83.6,(±6.6),283,,NaN,72.5,64.8,79.0,(±7.1),212,,77.1,68.8,83.7,(±7.5),245,,NaN,86.5,80.6,90.9,(±5.1),254,,NaN,84.4,76.9,89.8,(±6.4),230,
MI-City of Detroit,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,5.2,3.0,8.8,(±2.8),234,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
MI-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,35.3,28.2,43.0,(±7.5),270,,NaN,55.1,47.6,62.3,(±7.4),282,,NaN,72.0,65.2,77.9,(±6.3),331,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Minnesota,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,27.7,21.9,34.4,(±6.3),265,,NaN,62.5,56.1,68.4,(±6.2),362,,NaN,77.8,71.6,82.9,(±5.7),274,,NaN,67.8,60.3,74.5,(±7.1),269,,79.5,72.9,84.8,(±5.9),278,,NaN,77.6,70.6,83.4,(±6.4),290,,NaN,79.2,70.5,85.8,(±7.7),195,,85.3,77.5,90.8,(±6.5),199,,NaN,90.4,85.3,93.8,(±4.2),289,,NaN,91.6,86.3,95.0,(±4.2),279,
MN-Twin Cities,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,70.7,63.3,77.1,(±6.9),245,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
MN-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,27.7,21.9,34.4,(±6.3),265,,NaN,51.9,40.9,62.7,(±11.1),117,,NaN,77.8,71.6,82.9,(±5.7),274,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Mississippi,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,25.9,19.7,33.3,(±6.8),245,,NaN,47.1,40.8,53.4,(±6.3),377,,NaN,62.1,55.7,68.2,(±6.3),339,,NaN,64.6,58.4,70.4,(±6.0),323,,66.7,59.2,73.5,(±7.2),292,,NaN,65.0,56.6,72.5,(±8.0),303,,NaN,63.7,55.0,71.6,(±8.4),180,,68.3,58.9,76.5,(±8.9),205,,NaN,71.6,63.5,78.5,(±7.5),233,,NaN,72.3,65.3,78.4,(±6.5),239,
Missouri,,NaN,NaN,NA,,,NaN,9.7,6.1,15.0,(±4.4),290,,NaN,,NaN,NaN,NA,,,NaN,14.1,10.4,18.8,(±4.2),522,,NaN,23.0,17.7,29.3,(±5.9),275,,NaN,51.5,43.8,59.2,(±7.8),258,,NaN,65.2,58.9,71.0,(±6.1),315,,NaN,65.6,58.7,72.0,(±6.7),326,,NaN,67.8,61.5,73.6,(±6.1),325,,73.2,67.3,78.5,(±5.6),397,,NaN,79.5,71.9,85.4,(±6.8),252,,NaN,76.4,68.7,82.7,(±7.1),188,,82.4,75.5,87.7,(±6.1),272,,NaN,84.1,77.6,89.0,(±5.7),226,,NaN,84.1,77.1,89.2,(±6),215,
MO-St. Louis County/City of,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,16.0,11.2,22.5,(±5.6),263,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
MO-Rest of State,,NaN,NaN,NA,,,NaN,9.7,6.1,15.0,(±4.4),290,,NaN,,NaN,NaN,NA,,,NaN,13.6,9.2,19.6,(±5.2),259,,NaN,23.0,17.7,29.3,(±5.9),275,,NaN,51.5,43.8,59.2,(±7.8),258,,NaN,65.2,58.9,71.0,(±6.1),315,,NaN,65.6,58.7,72.0,(±6.7),326,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Montana,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,7.9,4.8,12.5,(±3.8),280,,NaN,6.0,3.4,10.3,(±3.3),260,,NaN,15.6,11.3,21.1,(±4.9),280,,NaN,36.2,29.6,43.4,(±6.9),269,,NaN,50.0,43.2,56.8,(±6.8),268,,NaN,56.2,48.4,63.6,(±7.7),262,,NaN,62.1,55.1,68.7,(±6.9),264,,67.1,58.9,74.4,(±7.8),328,,NaN,77.5,70.4,83.3,(±6.5),310,,NaN,73.9,66.6,80.0,(±6.7),220,,81.3,73.0,87.4,(±7.2),220,,NaN,76.4,69.2,82.3,(±6.6),251,,NaN,74.2,67.1,80.2,(±6.6),246,
